"genotype.idx" "phenotype.idx" "pval" "phenotype" "p.bh"
"Tvmar178.59" "TVAG_354430" 178 1.51196455856766e-07 "Tvmar178" 0.00462731124668429
"Tvmar178.19" "TVAG_130980" 178 1.59398269112226e-07 "Tvmar178" 0.00486058532563557
"MAV86.16" "TVAG_475600" 270 1.709174338565e-07 "MAV86" 0.00519295962221945
"MAV13" "TVAG_060280" 197 1.93660732008083e-07 "MAV13" 0.00586272419948288
"MAV86.10" "TVAG_250960" 270 2.02910233968095e-07 "MAV86" 0.00612063976927614
"Tvmar179.5" "TVAG_163190" 179 2.11181957209635e-07 "Tvmar179" 0.00630214156850607
"Tvmar180.5" "TVAG_163190" 180 2.11181957209635e-07 "Tvmar180" 0.00630214156850607
"Tvmar181.5" "TVAG_163190" 181 2.11181957209635e-07 "Tvmar181" 0.00630214156850607
"Tvmar138.37" "TVAG_475790" 138 2.22817500635029e-07 "Tvmar138" 0.00653263722274343
"Tvmar139.37" "TVAG_475790" 139 2.22817500635029e-07 "Tvmar139" 0.00653263722274343
"Tvmar60.1" "TVAG_224320" 60 2.25137956495875e-07 "Tvmar60" 0.00653263722274343
"Tvmar66.1" "TVAG_224320" 66 2.25137956495875e-07 "Tvmar66" 0.00653263722274343
"MAV20.1" "TVAG_224320" 204 2.25137956495875e-07 "MAV20" 0.00653263722274343
"MAV21.1" "TVAG_224320" 205 2.25137956495875e-07 "MAV21" 0.00653263722274343
"MAV22.1" "TVAG_224320" 206 2.25137956495875e-07 "MAV22" 0.00653263722274343
"MAV27.1" "TVAG_224320" 211 2.25137956495875e-07 "MAV27" 0.00653263722274343
"MAV95.4" "TVAG_271120" 279 2.30373933389015e-07 "MAV95" 0.00666151490087722
"Tvmar178.70" "TVAG_413430" 178 2.33697959156045e-07 "Tvmar178" 0.0067344106452239
"Tvmar151.2" "TVAG_313180" 151 2.41567866536082e-07 "Tvmar151" 0.00691367893597233
"Tvmar152.2" "TVAG_313180" 152 2.41567866536082e-07 "Tvmar152" 0.00691367893597233
"Tvmar22.3" "TVAG_182570" 22 2.47724117348832e-07 "Tvmar22" 0.00692444067893448
"Tvmar25.3" "TVAG_182570" 25 2.47724117348832e-07 "Tvmar25" 0.00692444067893448
"Tvmar28.3" "TVAG_182570" 28 2.47724117348832e-07 "Tvmar28" 0.00692444067893448
"Tvmar29.3" "TVAG_182570" 29 2.47724117348832e-07 "Tvmar29" 0.00692444067893448
"Tvmar32.3" "TVAG_182570" 32 2.47724117348832e-07 "Tvmar32" 0.00692444067893448
"Tvmar33.3" "TVAG_182570" 33 2.47724117348832e-07 "Tvmar33" 0.00692444067893448
"Tvmar45.3" "TVAG_182570" 45 2.47724117348832e-07 "Tvmar45" 0.00692444067893448
"Tvmar149.1" "TVAG_195610" 149 2.53072265893873e-07 "Tvmar149" 0.00700389439535889
"Tvmar150.1" "TVAG_195610" 150 2.53072265893873e-07 "Tvmar150" 0.00700389439535889
"MAV77.1" "TVAG_195610" 261 2.53072265893873e-07 "MAV77" 0.00700389439535889
"MAV86.1" "TVAG_046190" 270 2.87404498447361e-07 "MAV86" 0.00788365970855163
"Tvmar138.34" "TVAG_452590" 138 2.88628155351032e-07 "Tvmar138" 0.00788365970855163
"Tvmar139.34" "TVAG_452590" 139 2.88628155351032e-07 "Tvmar139" 0.00788365970855163
"MAV88.2" "TVAG_193020" 272 2.88909004841489e-07 "MAV88" 0.00788365970855163
"Tvmar53" "TVAG_276880" 53 2.94262244674683e-07 "Tvmar53" 0.00788365970855163
"Tvmar54" "TVAG_276880" 54 2.94262244674683e-07 "Tvmar54" 0.00788365970855163
"MAV7" "TVAG_276880" 191 2.94262244674683e-07 "MAV7" 0.00788365970855163
"MAV8" "TVAG_276880" 192 2.94262244674683e-07 "MAV8" 0.00788365970855163
"MAV9" "TVAG_276880" 193 2.94262244674683e-07 "MAV9" 0.00788365970855163
"MAV12" "TVAG_276880" 196 2.94262244674683e-07 "MAV12" 0.00788365970855163
"MAV82.4" "TVAG_484370" 266 3.1126425536411e-07 "MAV82" 0.00828621811349411
"MAV83.4" "TVAG_484370" 267 3.1126425536411e-07 "MAV83" 0.00828621811349411
"Tvmar178.45" "TVAG_252540" 178 3.15855099161841e-07 "Tvmar178" 0.0083818227774629
"MAV63.5" "TVAG_475450" 247 3.50349230822755e-07 "MAV63" 0.00918097604292184
"MAV64.5" "TVAG_475450" 248 3.50349230822755e-07 "MAV64" 0.00918097604292184
"MAV71.5" "TVAG_475450" 255 3.50349230822755e-07 "MAV71" 0.00918097604292184
"MAV72.5" "TVAG_475450" 256 3.50349230822755e-07 "MAV72" 0.00918097604292184
"Tvmar116.2" "TVAG_598540" 116 3.57146174190348e-07 "Tvmar116" 0.00932943237204292
"Tvmar22.2" "TVAG_052410" 22 3.64914735239945e-07 "Tvmar22" 0.00932943237204292
"Tvmar25.2" "TVAG_052410" 25 3.64914735239945e-07 "Tvmar25" 0.00932943237204292
"Tvmar28.2" "TVAG_052410" 28 3.64914735239945e-07 "Tvmar28" 0.00932943237204292
"Tvmar29.2" "TVAG_052410" 29 3.64914735239945e-07 "Tvmar29" 0.00932943237204292
"Tvmar32.2" "TVAG_052410" 32 3.64914735239945e-07 "Tvmar32" 0.00932943237204292
"Tvmar33.2" "TVAG_052410" 33 3.64914735239945e-07 "Tvmar33" 0.00932943237204292
"Tvmar45.2" "TVAG_052410" 45 3.64914735239945e-07 "Tvmar45" 0.00932943237204292
"Tvmar138.32" "TVAG_441500" 138 3.73699616445069e-07 "Tvmar138" 0.00949612398556269
"Tvmar139.32" "TVAG_441500" 139 3.73699616445069e-07 "Tvmar139" 0.00949612398556269
"Tvmar138.22" "TVAG_365690" 138 3.770172930522e-07 "Tvmar138" 0.00952271641504354
"Tvmar139.22" "TVAG_365690" 139 3.770172930522e-07 "Tvmar139" 0.00952271641504354
"Tvmar138.25" "TVAG_392230" 138 4.01276036308129e-07 "Tvmar138" 0.0100425368556015
"Tvmar139.25" "TVAG_392230" 139 4.01276036308129e-07 "Tvmar139" 0.0100425368556015
"Tvmar172.5" "TVAG_284270" 172 4.02383170591362e-07 "Tvmar172" 0.0100425368556015
"Tvmar178.7" "TVAG_061600" 178 4.02388024839773e-07 "Tvmar178" 0.0100425368556015
"Tvmar178.29" "TVAG_190400" 178 4.05195167106463e-07 "Tvmar178" 0.0100825879719861
"Tvmar138.24" "TVAG_391690" 138 4.32521295689635e-07 "Tvmar138" 0.010533153281023
"Tvmar139.24" "TVAG_391690" 139 4.32521295689635e-07 "Tvmar139" 0.010533153281023
"Tvmar2.3" "TVAG_042790" 2 4.34317547512736e-07 "Tvmar2" 0.010533153281023
"Tvmar3.3" "TVAG_042790" 3 4.34317547512736e-07 "Tvmar3" 0.010533153281023
"Tvmar13.3" "TVAG_042790" 13 4.34317547512736e-07 "Tvmar13" 0.010533153281023
"MAV25.3" "TVAG_042790" 209 4.34317547512736e-07 "MAV25" 0.010533153281023
"Tvmar178.80" "TVAG_489000" 178 4.38470289713038e-07 "Tvmar178" 0.010533153281023
"Tvmar12.2" "TVAG_184970" 12 4.42143661652248e-07 "Tvmar12" 0.010533153281023
"Tvmar17.2" "TVAG_184970" 17 4.42143661652248e-07 "Tvmar17" 0.010533153281023
"Tvmar20.2" "TVAG_184970" 20 4.42143661652248e-07 "Tvmar20" 0.010533153281023
"Tvmar21.2" "TVAG_184970" 21 4.42143661652248e-07 "Tvmar21" 0.010533153281023
"Tvmar43.2" "TVAG_184970" 43 4.42143661652248e-07 "Tvmar43" 0.010533153281023
"Tvmar44.2" "TVAG_184970" 44 4.42143661652248e-07 "Tvmar44" 0.010533153281023
"MAV30.2" "TVAG_184970" 214 4.42143661652248e-07 "MAV30" 0.010533153281023
"MAV31.2" "TVAG_184970" 215 4.42143661652248e-07 "MAV31" 0.010533153281023
"Tvmar172.2" "TVAG_009010" 172 4.63141814921435e-07 "Tvmar172" 0.0109218652356456
"MAV62.1" "TVAG_110080" 246 4.63958609820091e-07 "MAV62" 0.0109218652356456
"Tvmar122.3" "TVAG_228880" 122 4.65806540424482e-07 "Tvmar122" 0.0109218652356456
"MAV74.3" "TVAG_228880" 258 4.65806540424482e-07 "MAV74" 0.0109218652356456
"Tvmar120.1" "TVAG_024910" 120 4.68879937153773e-07 "Tvmar120" 0.0109218652356456
"MAV65.1" "TVAG_024910" 249 4.68879937153773e-07 "MAV65" 0.0109218652356456
"MAV66.1" "TVAG_024910" 250 4.68879937153773e-07 "MAV66" 0.0109218652356456
"MAV67.1" "TVAG_024910" 251 4.68879937153773e-07 "MAV67" 0.0109218652356456
"Tvmar97" "TVAG_463590" 97 4.74805253425592e-07 "Tvmar97" 0.0109987823753671
"Tvmar98" "TVAG_463590" 98 4.74805253425592e-07 "Tvmar98" 0.0109987823753671
"Tvmar2.9" "TVAG_130230" 2 4.83452491469347e-07 "Tvmar2" 0.0110766996918983
"Tvmar3.9" "TVAG_130230" 3 4.83452491469347e-07 "Tvmar3" 0.0110766996918983
"Tvmar13.9" "TVAG_130230" 13 4.83452491469347e-07 "Tvmar13" 0.0110766996918983
"MAV25.9" "TVAG_130230" 209 4.83452491469347e-07 "MAV25" 0.0110766996918983
"Tvmar178.77" "TVAG_453460" 178 4.85768661101803e-07 "Tvmar178" 0.0110994406452431
"Tvmar179.8" "TVAG_228090" 179 5.01312906332093e-07 "Tvmar179" 0.0113617394503136
"Tvmar180.8" "TVAG_228090" 180 5.01312906332093e-07 "Tvmar180" 0.0113617394503136
"Tvmar181.8" "TVAG_228090" 181 5.01312906332093e-07 "Tvmar181" 0.0113617394503136
"Tvmar9.2" "TVAG_306470" 9 5.14983584944829e-07 "Tvmar9" 0.0114245538857067
"Tvmar10.2" "TVAG_306470" 10 5.14983584944829e-07 "Tvmar10" 0.0114245538857067
"Tvmar15.2" "TVAG_306470" 15 5.14983584944829e-07 "Tvmar15" 0.0114245538857067
"Tvmar30.2" "TVAG_306470" 30 5.14983584944829e-07 "Tvmar30" 0.0114245538857067
"Tvmar34.2" "TVAG_306470" 34 5.14983584944829e-07 "Tvmar34" 0.0114245538857067
"Tvmar41.2" "TVAG_306470" 41 5.14983584944829e-07 "Tvmar41" 0.0114245538857067
"Tvmar42.2" "TVAG_306470" 42 5.14983584944829e-07 "Tvmar42" 0.0114245538857067
"MAV15.2" "TVAG_306470" 199 5.14983584944829e-07 "MAV15" 0.0114245538857067
"Tvmar8.4" "TVAG_151200" 8 5.21936131054197e-07 "Tvmar8" 0.0114276321468015
"Tvmar31.4" "TVAG_151200" 31 5.21936131054197e-07 "Tvmar31" 0.0114276321468015
"MAV29.4" "TVAG_151200" 213 5.21936131054197e-07 "MAV29" 0.0114276321468015
"MAV32.4" "TVAG_151200" 216 5.21936131054197e-07 "MAV32" 0.0114276321468015
"MAV33.4" "TVAG_151200" 217 5.21936131054197e-07 "MAV33" 0.0114276321468015
"Tvmar178.75" "TVAG_447130" 178 5.24722854708409e-07 "Tvmar178" 0.0114587282593671
"Tvmar12.3" "TVAG_210620" 12 5.38983202713948e-07 "Tvmar12" 0.011520113574605
"Tvmar17.3" "TVAG_210620" 17 5.38983202713948e-07 "Tvmar17" 0.011520113574605
"Tvmar20.3" "TVAG_210620" 20 5.38983202713948e-07 "Tvmar20" 0.011520113574605
"Tvmar21.3" "TVAG_210620" 21 5.38983202713948e-07 "Tvmar21" 0.011520113574605
"Tvmar43.3" "TVAG_210620" 43 5.38983202713948e-07 "Tvmar43" 0.011520113574605
"Tvmar44.3" "TVAG_210620" 44 5.38983202713948e-07 "Tvmar44" 0.011520113574605
"MAV30.3" "TVAG_210620" 214 5.38983202713948e-07 "MAV30" 0.011520113574605
"MAV31.3" "TVAG_210620" 215 5.38983202713948e-07 "MAV31" 0.011520113574605
"Tvmar178.60" "TVAG_359060" 178 5.39897910914166e-07 "Tvmar178" 0.011520113574605
"MAV88.4" "TVAG_246930" 272 5.72718237296557e-07 "MAV88" 0.0121894035419141
"MAV91.3" "TVAG_204420" 275 5.85675491123196e-07 "MAV91" 0.0124336208210027
"Tvmar179.6" "TVAG_220730" 179 5.96679425579053e-07 "Tvmar179" 0.0125717476515996
"Tvmar180.6" "TVAG_220730" 180 5.96679425579053e-07 "Tvmar180" 0.0125717476515996
"Tvmar181.6" "TVAG_220730" 181 5.96679425579053e-07 "Tvmar181" 0.0125717476515996
"Tvmar178.8" "TVAG_082180" 178 6.00971775294432e-07 "Tvmar178" 0.0126304505889466
"MAV91.4" "TVAG_249780" 275 6.52387422897682e-07 "MAV91" 0.0136767608394889
"Tvmar138.31" "TVAG_437970" 138 6.90421552043795e-07 "Tvmar138" 0.0143723317856622
"Tvmar139.31" "TVAG_437970" 139 6.90421552043795e-07 "Tvmar139" 0.0143723317856622
"Tvmar178.20" "TVAG_130990" 178 6.90708207100719e-07 "Tvmar178" 0.0143723317856622
"Tvmar178.47" "TVAG_271740" 178 6.92488720237394e-07 "Tvmar178" 0.0143737141130091
"Tvmar8.2" "TVAG_020910" 8 7.60693120981075e-07 "Tvmar8" 0.0153034901345812
"Tvmar31.2" "TVAG_020910" 31 7.60693120981075e-07 "Tvmar31" 0.0153034901345812
"MAV29.2" "TVAG_020910" 213 7.60693120981075e-07 "MAV29" 0.0153034901345812
"MAV32.2" "TVAG_020910" 216 7.60693120981075e-07 "MAV32" 0.0153034901345812
"MAV33.2" "TVAG_020910" 217 7.60693120981075e-07 "MAV33" 0.0153034901345812
"Tvmar9.4" "TVAG_483470" 9 7.63778451888882e-07 "Tvmar9" 0.0153034901345812
"Tvmar10.4" "TVAG_483470" 10 7.63778451888882e-07 "Tvmar10" 0.0153034901345812
"Tvmar15.4" "TVAG_483470" 15 7.63778451888882e-07 "Tvmar15" 0.0153034901345812
"Tvmar30.4" "TVAG_483470" 30 7.63778451888882e-07 "Tvmar30" 0.0153034901345812
"Tvmar34.4" "TVAG_483470" 34 7.63778451888882e-07 "Tvmar34" 0.0153034901345812
"Tvmar41.4" "TVAG_483470" 41 7.63778451888882e-07 "Tvmar41" 0.0153034901345812
"Tvmar42.4" "TVAG_483470" 42 7.63778451888882e-07 "Tvmar42" 0.0153034901345812
"MAV15.4" "TVAG_483470" 199 7.63778451888882e-07 "MAV15" 0.0153034901345812
"MAV88.8" "TVAG_336820" 272 7.64321446425993e-07 "MAV88" 0.0153034901345812
"Tvmar131.1" "TVAG_131520" 131 7.64657313691591e-07 "Tvmar131" 0.0153034901345812
"Tvmar116.1" "TVAG_277620" 116 7.73243137313024e-07 "Tvmar116" 0.0154384767447272
"Tvmar2.12" "TVAG_271680" 2 7.88463024858064e-07 "Tvmar2" 0.0154694434584524
"Tvmar3.12" "TVAG_271680" 3 7.88463024858064e-07 "Tvmar3" 0.0154694434584524
"Tvmar13.12" "TVAG_271680" 13 7.88463024858064e-07 "Tvmar13" 0.0154694434584524
"MAV25.12" "TVAG_271680" 209 7.88463024858064e-07 "MAV25" 0.0154694434584524
"Tvmar178.38" "TVAG_213620" 178 8.00328817683133e-07 "Tvmar178" 0.0154694434584524
"Tvmar178.51" "TVAG_294680" 178 8.0894640594012e-07 "Tvmar178" 0.0154694434584524
"Tvmar173.4" "TVAG_180440" 173 8.10668406181847e-07 "Tvmar173" 0.0154694434584524
"Tvmar174.4" "TVAG_180440" 174 8.10668406181847e-07 "Tvmar174" 0.0154694434584524
"Tvmar175.4" "TVAG_180440" 175 8.10668406181847e-07 "Tvmar175" 0.0154694434584524
"Tvmar177.4" "TVAG_180440" 177 8.10668406181847e-07 "Tvmar177" 0.0154694434584524
"Tvmar185.4" "TVAG_180440" 185 8.10668406181847e-07 "Tvmar185" 0.0154694434584524
"MAV89.4" "TVAG_180440" 273 8.10668406181847e-07 "MAV89" 0.0154694434584524
"MAV90.4" "TVAG_180440" 274 8.10668406181847e-07 "MAV90" 0.0154694434584524
"MAV92.4" "TVAG_180440" 276 8.10668406181847e-07 "MAV92" 0.0154694434584524
"MAV97.4" "TVAG_180440" 281 8.10668406181847e-07 "MAV97" 0.0154694434584524
"MAV98.4" "TVAG_180440" 282 8.10668406181847e-07 "MAV98" 0.0154694434584524
"MAV99.4" "TVAG_180440" 283 8.10668406181847e-07 "MAV99" 0.0154694434584524
"Tvmar178.36" "TVAG_207540" 178 8.1531214412707e-07 "Tvmar178" 0.0154694434584524
"Tvmar11.1" "TVAG_079150" 11 8.2644706055459e-07 "Tvmar11" 0.0154694434584524
"Tvmar14.1" "TVAG_079150" 14 8.2644706055459e-07 "Tvmar14" 0.0154694434584524
"Tvmar18.1" "TVAG_079150" 18 8.2644706055459e-07 "Tvmar18" 0.0154694434584524
"Tvmar19.1" "TVAG_079150" 19 8.2644706055459e-07 "Tvmar19" 0.0154694434584524
"Tvmar26.1" "TVAG_079150" 26 8.2644706055459e-07 "Tvmar26" 0.0154694434584524
"Tvmar27.1" "TVAG_079150" 27 8.2644706055459e-07 "Tvmar27" 0.0154694434584524
"Tvmar35.1" "TVAG_079150" 35 8.2644706055459e-07 "Tvmar35" 0.0154694434584524
"Tvmar36.1" "TVAG_079150" 36 8.2644706055459e-07 "Tvmar36" 0.0154694434584524
"Tvmar37.1" "TVAG_079150" 37 8.2644706055459e-07 "Tvmar37" 0.0154694434584524
"Tvmar40.1" "TVAG_079150" 40 8.2644706055459e-07 "Tvmar40" 0.0154694434584524
"Tvmar173.1" "TVAG_012780" 173 8.64177080628449e-07 "Tvmar173" 0.0157880219855325
"Tvmar174.1" "TVAG_012780" 174 8.64177080628449e-07 "Tvmar174" 0.0157880219855325
"Tvmar175.1" "TVAG_012780" 175 8.64177080628449e-07 "Tvmar175" 0.0157880219855325
"Tvmar177.1" "TVAG_012780" 177 8.64177080628449e-07 "Tvmar177" 0.0157880219855325
"Tvmar185.1" "TVAG_012780" 185 8.64177080628449e-07 "Tvmar185" 0.0157880219855325
"MAV89.1" "TVAG_012780" 273 8.64177080628449e-07 "MAV89" 0.0157880219855325
"MAV90.1" "TVAG_012780" 274 8.64177080628449e-07 "MAV90" 0.0157880219855325
"MAV92.1" "TVAG_012780" 276 8.64177080628449e-07 "MAV92" 0.0157880219855325
"MAV97.1" "TVAG_012780" 281 8.64177080628449e-07 "MAV97" 0.0157880219855325
"MAV98.1" "TVAG_012780" 282 8.64177080628449e-07 "MAV98" 0.0157880219855325
"MAV99.1" "TVAG_012780" 283 8.64177080628449e-07 "MAV99" 0.0157880219855325
"Tvmar178.72" "TVAG_420480" 178 8.77584754832481e-07 "Tvmar178" 0.0159981182519273
"Tvmar138.36" "TVAG_470050" 138 9.11784724273479e-07 "Tvmar138" 0.016549619015647
"Tvmar139.36" "TVAG_470050" 139 9.11784724273479e-07 "Tvmar139" 0.016549619015647
"MAV63.3" "TVAG_103750" 247 9.42542772495503e-07 "MAV63" 0.0169610531458086
"MAV64.3" "TVAG_103750" 248 9.42542772495503e-07 "MAV64" 0.0169610531458086
"MAV71.3" "TVAG_103750" 255 9.42542772495503e-07 "MAV71" 0.0169610531458086
"MAV72.3" "TVAG_103750" 256 9.42542772495503e-07 "MAV72" 0.0169610531458086
"Tvmar178.42" "TVAG_230600" 178 9.71970689535392e-07 "Tvmar178" 0.0174531552637578
"Tvmar178.31" "TVAG_194910" 178 1.01433426569037e-06 "Tvmar178" 0.0181600457866581
"Tvmar48.2" "TVAG_397940" 48 1.02251443822044e-06 "Tvmar48" 0.0181600457866581
"Tvmar2.13" "TVAG_317190" 2 1.02433123480315e-06 "Tvmar2" 0.0181600457866581
"Tvmar3.13" "TVAG_317190" 3 1.02433123480315e-06 "Tvmar3" 0.0181600457866581
"Tvmar13.13" "TVAG_317190" 13 1.02433123480315e-06 "Tvmar13" 0.0181600457866581
"MAV25.13" "TVAG_317190" 209 1.02433123480315e-06 "MAV25" 0.0181600457866581
"Tvmar178.16" "TVAG_119140" 178 1.0349455290935e-06 "Tvmar178" 0.0183095139347309
"Tvmar12.1" "TVAG_047110" 12 1.09449189362568e-06 "Tvmar12" 0.0190415884826479
"Tvmar17.1" "TVAG_047110" 17 1.09449189362568e-06 "Tvmar17" 0.0190415884826479
"Tvmar20.1" "TVAG_047110" 20 1.09449189362568e-06 "Tvmar20" 0.0190415884826479
"Tvmar21.1" "TVAG_047110" 21 1.09449189362568e-06 "Tvmar21" 0.0190415884826479
"Tvmar43.1" "TVAG_047110" 43 1.09449189362568e-06 "Tvmar43" 0.0190415884826479
"Tvmar44.1" "TVAG_047110" 44 1.09449189362568e-06 "Tvmar44" 0.0190415884826479
"MAV30.1" "TVAG_047110" 214 1.09449189362568e-06 "MAV30" 0.0190415884826479
"MAV31.1" "TVAG_047110" 215 1.09449189362568e-06 "MAV31" 0.0190415884826479
"MAV86.13" "TVAG_375920" 270 1.11313276838446e-06 "MAV86" 0.0193258009018488
"Tvmar179.1" "TVAG_027220" 179 1.1332394695179e-06 "Tvmar179" 0.0195534361231959
"Tvmar180.1" "TVAG_027220" 180 1.1332394695179e-06 "Tvmar180" 0.0195534361231959
"Tvmar181.1" "TVAG_027220" 181 1.1332394695179e-06 "Tvmar181" 0.0195534361231959
"MAV86.15" "TVAG_475580" 270 1.15334440845451e-06 "MAV86" 0.0197649523280935
"Tvmar2.16" "TVAG_434490" 2 1.15728306833682e-06 "Tvmar2" 0.0197649523280935
"Tvmar3.16" "TVAG_434490" 3 1.15728306833682e-06 "Tvmar3" 0.0197649523280935
"Tvmar13.16" "TVAG_434490" 13 1.15728306833682e-06 "Tvmar13" 0.0197649523280935
"MAV25.16" "TVAG_434490" 209 1.15728306833682e-06 "MAV25" 0.0197649523280935
"MAV86.2" "TVAG_074480" 270 1.18691364980335e-06 "MAV86" 0.0202298044957707
"MAV95.2" "TVAG_133330" 279 1.19332738626285e-06 "MAV95" 0.0202978646582313
"Tvmar61" "TVAG_330600" 61 1.21438561283336e-06 "Tvmar61" 0.0206142400267148
"Tvmar79" "TVAG_418270" 79 1.22500347001475e-06 "Tvmar79" 0.020710629835467
"MAV28" "TVAG_418270" 212 1.22500347001475e-06 "MAV28" 0.020710629835467
"Tvmar178.4" "TVAG_037400" 178 1.24279729662327e-06 "Tvmar178" 0.0209691861585116
"Tvmar138.11" "TVAG_212030" 138 1.2612028181638e-06 "Tvmar138" 0.0211944451178076
"Tvmar139.11" "TVAG_212030" 139 1.2612028181638e-06 "Tvmar139" 0.0211944451178076
"MAV63.4" "TVAG_409820" 247 1.27269352679556e-06 "MAV63" 0.0212174659671107
"MAV64.4" "TVAG_409820" 248 1.27269352679556e-06 "MAV64" 0.0212174659671107
"MAV71.4" "TVAG_409820" 255 1.27269352679556e-06 "MAV71" 0.0212174659671107
"MAV72.4" "TVAG_409820" 256 1.27269352679556e-06 "MAV72" 0.0212174659671107
"Tvmar2.17" "TVAG_442340" 2 1.29538960109614e-06 "Tvmar2" 0.0213455856391524
"Tvmar3.17" "TVAG_442340" 3 1.29538960109614e-06 "Tvmar3" 0.0213455856391524
"Tvmar13.17" "TVAG_442340" 13 1.29538960109614e-06 "Tvmar13" 0.0213455856391524
"MAV25.17" "TVAG_442340" 209 1.29538960109614e-06 "MAV25" 0.0213455856391524
"Tvmar138.33" "TVAG_451230" 138 1.3120883411044e-06 "Tvmar138" 0.0213455856391524
"Tvmar139.33" "TVAG_451230" 139 1.3120883411044e-06 "Tvmar139" 0.0213455856391524
"Tvmar2.22" "TVAG_475050" 2 1.32428885905131e-06 "Tvmar2" 0.0213455856391524
"Tvmar3.22" "TVAG_475050" 3 1.32428885905131e-06 "Tvmar3" 0.0213455856391524
"Tvmar13.22" "TVAG_475050" 13 1.32428885905131e-06 "Tvmar13" 0.0213455856391524
"MAV25.22" "TVAG_475050" 209 1.32428885905131e-06 "MAV25" 0.0213455856391524
"Tvmar1.2" "TVAG_133460" 1 1.33302168201365e-06 "Tvmar1" 0.0213455856391524
"Tvmar4.2" "TVAG_133460" 4 1.33302168201365e-06 "Tvmar4" 0.0213455856391524
"Tvmar5.2" "TVAG_133460" 5 1.33302168201365e-06 "Tvmar5" 0.0213455856391524
"Tvmar6.2" "TVAG_133460" 6 1.33302168201365e-06 "Tvmar6" 0.0213455856391524
"Tvmar7.2" "TVAG_133460" 7 1.33302168201365e-06 "Tvmar7" 0.0213455856391524
"Tvmar16.2" "TVAG_133460" 16 1.33302168201365e-06 "Tvmar16" 0.0213455856391524
"Tvmar23.2" "TVAG_133460" 23 1.33302168201365e-06 "Tvmar23" 0.0213455856391524
"Tvmar24.2" "TVAG_133460" 24 1.33302168201365e-06 "Tvmar24" 0.0213455856391524
"Tvmar38.2" "TVAG_133460" 38 1.33302168201365e-06 "Tvmar38" 0.0213455856391524
"Tvmar39.2" "TVAG_133460" 39 1.33302168201365e-06 "Tvmar39" 0.0213455856391524
"Tvmar178.17" "TVAG_120280" 178 1.35233123201052e-06 "Tvmar178" 0.0213455856391524
"Tvmar12.6" "TVAG_268300" 12 1.3584953790227e-06 "Tvmar12" 0.0213455856391524
"Tvmar17.6" "TVAG_268300" 17 1.3584953790227e-06 "Tvmar17" 0.0213455856391524
"Tvmar20.6" "TVAG_268300" 20 1.3584953790227e-06 "Tvmar20" 0.0213455856391524
"Tvmar21.6" "TVAG_268300" 21 1.3584953790227e-06 "Tvmar21" 0.0213455856391524
"Tvmar43.6" "TVAG_268300" 43 1.3584953790227e-06 "Tvmar43" 0.0213455856391524
"Tvmar44.6" "TVAG_268300" 44 1.3584953790227e-06 "Tvmar44" 0.0213455856391524
"MAV30.6" "TVAG_268300" 214 1.3584953790227e-06 "MAV30" 0.0213455856391524
"MAV31.6" "TVAG_268300" 215 1.3584953790227e-06 "MAV31" 0.0213455856391524
"Tvmar112" "TVAG_096170" 112 1.36307627524836e-06 "Tvmar112" 0.0213455856391524
"Tvmar113" "TVAG_096170" 113 1.36307627524836e-06 "Tvmar113" 0.0213455856391524
"MAV40" "TVAG_096170" 224 1.36307627524836e-06 "MAV40" 0.0213455856391524
"MAV88.1" "TVAG_153320" 272 1.3643795464578e-06 "MAV88" 0.0213455856391524
"Tvmar178.1" "TVAG_021120" 178 1.43726974893406e-06 "Tvmar178" 0.0224440725158368
"MAV62.3" "TVAG_450660" 246 1.44492308809531e-06 "MAV62" 0.0224805858715527
"Tvmar12.4" "TVAG_230810" 12 1.46948336904945e-06 "Tvmar12" 0.0224805858715527
"Tvmar17.4" "TVAG_230810" 17 1.46948336904945e-06 "Tvmar17" 0.0224805858715527
"Tvmar20.4" "TVAG_230810" 20 1.46948336904945e-06 "Tvmar20" 0.0224805858715527
"Tvmar21.4" "TVAG_230810" 21 1.46948336904945e-06 "Tvmar21" 0.0224805858715527
"Tvmar43.4" "TVAG_230810" 43 1.46948336904945e-06 "Tvmar43" 0.0224805858715527
"Tvmar44.4" "TVAG_230810" 44 1.46948336904945e-06 "Tvmar44" 0.0224805858715527
"MAV30.4" "TVAG_230810" 214 1.46948336904945e-06 "MAV30" 0.0224805858715527
"MAV31.4" "TVAG_230810" 215 1.46948336904945e-06 "MAV31" 0.0224805858715527
"Tvmar149.2" "TVAG_340600" 149 1.48132961579658e-06 "Tvmar149" 0.0224805858715527
"Tvmar150.2" "TVAG_340600" 150 1.48132961579658e-06 "Tvmar150" 0.0224805858715527
"MAV77.2" "TVAG_340600" 261 1.48132961579658e-06 "MAV77" 0.0224805858715527
"Tvmar60.2" "TVAG_425230" 60 1.48786300133892e-06 "Tvmar60" 0.0224805858715527
"Tvmar66.2" "TVAG_425230" 66 1.48786300133892e-06 "Tvmar66" 0.0224805858715527
"MAV20.2" "TVAG_425230" 204 1.48786300133892e-06 "MAV20" 0.0224805858715527
"MAV21.2" "TVAG_425230" 205 1.48786300133892e-06 "MAV21" 0.0224805858715527
"MAV22.2" "TVAG_425230" 206 1.48786300133892e-06 "MAV22" 0.0224805858715527
