"genotype.idx" "phenotype.idx" "pval" "phenotype" "p.bh"
"MAV25.10" "TVAG_146830" 209 3.25126307214343e-11 "MAV25" 4.3974214038153e-06
"Tvmar178.65" "TVAG_378140" 178 3.92230636683463e-11 "Tvmar178" 5.22081888675578e-06
"Tvmar1.4" "TVAG_162060" 1 9.90340199014417e-11 "Tvmar1" 1.13762522136833e-05
"Tvmar4.4" "TVAG_162060" 4 9.90340199014417e-11 "Tvmar4" 1.13762522136833e-05
"Tvmar5.4" "TVAG_162060" 5 9.90340199014417e-11 "Tvmar5" 1.13762522136833e-05
"Tvmar6.4" "TVAG_162060" 6 9.90340199014417e-11 "Tvmar6" 1.13762522136833e-05
"Tvmar7.4" "TVAG_162060" 7 9.90340199014417e-11 "Tvmar7" 1.13762522136833e-05
"Tvmar16.4" "TVAG_162060" 16 9.90340199014417e-11 "Tvmar16" 1.13762522136833e-05
"Tvmar23.4" "TVAG_162060" 23 9.90340199014417e-11 "Tvmar23" 1.13762522136833e-05
"Tvmar24.4" "TVAG_162060" 24 9.90340199014417e-11 "Tvmar24" 1.13762522136833e-05
"Tvmar38.4" "TVAG_162060" 38 9.90340199014417e-11 "Tvmar38" 1.13762522136833e-05
"Tvmar39.4" "TVAG_162060" 39 9.90340199014417e-11 "Tvmar39" 1.13762522136833e-05
"Tvmar178.44" "TVAG_251280" 178 1.10785182477858e-10 "Tvmar178" 1.25541589132261e-05
"MAV86.9" "TVAG_189630" 270 1.330215454743e-10 "MAV86" 1.48729935625918e-05
"Tvmar178.56" "TVAG_345540" 178 1.72018811026188e-10 "Tvmar178" 1.89801663028994e-05
"Tvmar172.3" "TVAG_136030" 172 2.01766536682498e-10 "Tvmar172" 2.19733401315487e-05
"Tvmar178.58" "TVAG_352480" 178 3.61320483787893e-10 "Tvmar178" 3.88450463928802e-05
"Tvmar178.6" "TVAG_061590" 178 4.25850103523533e-10 "Tvmar178" 4.52030074166326e-05
"MAV58" "TVAG_293170" 242 4.61546556370623e-10 "MAV58" 4.77824220773744e-05
"MAV59" "TVAG_293170" 243 4.61546556370623e-10 "MAV59" 4.77824220773744e-05
"Tvmar179.7" "TVAG_225450" 179 5.27811131207977e-10 "Tvmar179" 5.12118993256546e-05
"Tvmar180.7" "TVAG_225450" 180 5.27811131207977e-10 "Tvmar180" 5.12118993256546e-05
"Tvmar181.7" "TVAG_225450" 181 5.27811131207977e-10 "Tvmar181" 5.12118993256546e-05
"Tvmar2.14" "TVAG_385900" 2 5.37422557231887e-10 "Tvmar2" 5.12118993256546e-05
"Tvmar3.14" "TVAG_385900" 3 5.37422557231887e-10 "Tvmar3" 5.12118993256546e-05
"Tvmar13.14" "TVAG_385900" 13 5.37422557231887e-10 "Tvmar13" 5.12118993256546e-05
"MAV25.14" "TVAG_385900" 209 5.37422557231887e-10 "MAV25" 5.12118993256546e-05
"Tvmar2.8" "TVAG_107020" 2 7.9023992070243e-10 "Tvmar2" 7.20292349495316e-05
"Tvmar3.8" "TVAG_107020" 3 7.9023992070243e-10 "Tvmar3" 7.20292349495316e-05
"Tvmar13.8" "TVAG_107020" 13 7.9023992070243e-10 "Tvmar13" 7.20292349495316e-05
"MAV25.8" "TVAG_107020" 209 7.9023992070243e-10 "MAV25" 7.20292349495316e-05
"MAV86.8" "TVAG_158640" 270 8.52135614842393e-10 "MAV86" 7.68357672800449e-05
"Tvmar2.6" "TVAG_092380" 2 8.99059147318912e-10 "Tvmar2" 7.73133038177416e-05
"Tvmar3.6" "TVAG_092380" 3 8.99059147318912e-10 "Tvmar3" 7.73133038177416e-05
"Tvmar13.6" "TVAG_092380" 13 8.99059147318912e-10 "Tvmar13" 7.73133038177416e-05
"MAV25.6" "TVAG_092380" 209 8.99059147318912e-10 "MAV25" 7.73133038177416e-05
"Tvmar178.22" "TVAG_157130" 178 9.03530139058532e-10 "Tvmar178" 7.73133038177416e-05
"Tvmar178.37" "TVAG_207550" 178 9.33352530848776e-10 "Tvmar178" 7.90584287945212e-05
"Tvmar178.12" "TVAG_099690" 178 9.86077192574179e-10 "Tvmar178" 8.26891595929913e-05
"MAV82.3" "TVAG_259270" 266 1.11170207511606e-09 "MAV82" 9.13957305571994e-05
"MAV83.3" "TVAG_259270" 267 1.11170207511606e-09 "MAV83" 9.13957305571994e-05
"Tvmar165.2" "TVAG_422450" 165 1.32801039588812e-09 "Tvmar165" 0.000108118973596761
"MAV86.5" "TVAG_097010" 270 1.50995899989595e-09 "MAV86" 0.000121750142949418
"Tvmar173.12" "TVAG_464270" 173 1.77658796626564e-09 "Tvmar173" 0.000129546755286077
"Tvmar174.12" "TVAG_464270" 174 1.77658796626564e-09 "Tvmar174" 0.000129546755286077
"Tvmar175.12" "TVAG_464270" 175 1.77658796626564e-09 "Tvmar175" 0.000129546755286077
"Tvmar177.12" "TVAG_464270" 177 1.77658796626564e-09 "Tvmar177" 0.000129546755286077
"Tvmar185.12" "TVAG_464270" 185 1.77658796626564e-09 "Tvmar185" 0.000129546755286077
"MAV89.12" "TVAG_464270" 273 1.77658796626564e-09 "MAV89" 0.000129546755286077
"MAV90.12" "TVAG_464270" 274 1.77658796626564e-09 "MAV90" 0.000129546755286077
"MAV92.12" "TVAG_464270" 276 1.77658796626564e-09 "MAV92" 0.000129546755286077
"MAV97.12" "TVAG_464270" 281 1.77658796626564e-09 "MAV97" 0.000129546755286077
"MAV98.12" "TVAG_464270" 282 1.77658796626564e-09 "MAV98" 0.000129546755286077
"MAV99.12" "TVAG_464270" 283 1.77658796626564e-09 "MAV99" 0.000129546755286077
"Tvmar12.7" "TVAG_390180" 12 1.90119834979856e-09 "Tvmar12" 0.00012961640783381
"Tvmar17.7" "TVAG_390180" 17 1.90119834979856e-09 "Tvmar17" 0.00012961640783381
"Tvmar20.7" "TVAG_390180" 20 1.90119834979856e-09 "Tvmar20" 0.00012961640783381
"Tvmar21.7" "TVAG_390180" 21 1.90119834979856e-09 "Tvmar21" 0.00012961640783381
"Tvmar43.7" "TVAG_390180" 43 1.90119834979856e-09 "Tvmar43" 0.00012961640783381
"Tvmar44.7" "TVAG_390180" 44 1.90119834979856e-09 "Tvmar44" 0.00012961640783381
"MAV30.7" "TVAG_390180" 214 1.90119834979856e-09 "MAV30" 0.00012961640783381
"MAV31.7" "TVAG_390180" 215 1.90119834979856e-09 "MAV31" 0.00012961640783381
"Tvmar48.3" "TVAG_397950" 48 2.67286100692101e-09 "Tvmar48" 0.000180755846888591
"Tvmar9.5" "TVAG_554590" 9 2.96779511406828e-09 "Tvmar9" 0.000181530463065124
"Tvmar10.5" "TVAG_554590" 10 2.96779511406828e-09 "Tvmar10" 0.000181530463065124
"Tvmar15.5" "TVAG_554590" 15 2.96779511406828e-09 "Tvmar15" 0.000181530463065124
"Tvmar30.5" "TVAG_554590" 30 2.96779511406828e-09 "Tvmar30" 0.000181530463065124
"Tvmar34.5" "TVAG_554590" 34 2.96779511406828e-09 "Tvmar34" 0.000181530463065124
"Tvmar41.5" "TVAG_554590" 41 2.96779511406828e-09 "Tvmar41" 0.000181530463065124
"Tvmar42.5" "TVAG_554590" 42 2.96779511406828e-09 "Tvmar42" 0.000181530463065124
"MAV15.5" "TVAG_554590" 199 2.96779511406828e-09 "MAV15" 0.000181530463065124
"Tvmar1.8" "TVAG_473160" 1 3.13583961242644e-09 "Tvmar1" 0.000181530463065124
"Tvmar4.8" "TVAG_473160" 4 3.13583961242644e-09 "Tvmar4" 0.000181530463065124
"Tvmar5.8" "TVAG_473160" 5 3.13583961242644e-09 "Tvmar5" 0.000181530463065124
"Tvmar6.8" "TVAG_473160" 6 3.13583961242644e-09 "Tvmar6" 0.000181530463065124
"Tvmar7.8" "TVAG_473160" 7 3.13583961242644e-09 "Tvmar7" 0.000181530463065124
"Tvmar16.8" "TVAG_473160" 16 3.13583961242644e-09 "Tvmar16" 0.000181530463065124
